2026-01-04 20:58:03,423 [INFO] 에코 서버 시작: 127.0.0.1:8000 (buffer=4096)
2026-01-04 21:00:09,032 [INFO] 클라이언트 연결: ('127.0.0.1', 1644)
2026-01-04 21:00:09,032 [INFO] 클라이언트 연결 종료: ('127.0.0.1', 1644)
2026-01-04 21:04:17,439 [INFO] 클라이언트 연결: ('127.0.0.1', 2099)
2026-01-04 21:04:17,439 [INFO] 클라이언트 연결 종료: ('127.0.0.1', 2099)
2026-01-04 21:05:22,184 [INFO] 클라이언트 연결: ('127.0.0.1', 14189)
2026-01-04 21:05:22,184 [INFO] 클라이언트 연결 종료: ('127.0.0.1', 14189)
2026-01-04 21:05:37,249 [INFO] 클라이언트 연결: ('127.0.0.1', 14872)
2026-01-04 21:05:37,249 [INFO] 클라이언트 연결 종료: ('127.0.0.1', 14872)
2026-01-04 21:06:22,750 [INFO] 클라이언트 연결: ('127.0.0.1', 14891)
2026-01-04 21:06:47,765 [INFO] 클라이언트 연결 종료: ('127.0.0.1', 14891)
2026-01-04 21:12:47,895 [INFO] 클라이언트 연결: ('127.0.0.1', 7333)
2026-01-04 21:13:07,898 [INFO] 클라이언트 연결 종료: ('127.0.0.1', 7333)
